step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,device_id,txn_timestamp,txn_date,hour_of_day,transaction_id
331,CASH_IN,339.5,C1006287,2320.94,2660.44,C2012138,0.0,339.5,0,0,DEV_952,2025-01-14 19:55:00,2025-01-14,19,TXN_100468
278,PAYMENT,90.25,C1015858,121.66,31.41,C2010091,41051.8,41051.8,0,0,DEV_723,2025-01-12 14:54:00,2025-01-12,14,TXN_100399
389,CASH_OUT,156.46,C1007507,0.0,0.0,C2004450,0.0,156.46,0,0,DEV_298,2025-01-17 05:20:00,2025-01-17,5,TXN_100501
7,TRANSFER,5632.84,C1001735,0.0,0.0,M1012334,0.0,5632.84,0,0,DEV_648,2025-01-01 07:52:00,2025-01-01,7,TXN_100254
234,TRANSFER,442475.97,C1020887,446565.45,0.0,M1001593,96901.79,539377.76,1,0,DEV_449,2025-01-10 18:07:00,2025-01-10,18,TXN_100329
109,CASH_OUT,362.01,C1017333,0.0,0.0,C2013499,0.0,362.01,0,0,DEV_733,2025-01-05 13:52:00,2025-01-05,13,TXN_100296
75,CASH_OUT,3402.69,C1011199,30503.33,27100.64,M1006668,23206.19,26608.88,0,0,DEV_166,2025-01-04 03:46:00,2025-01-04,3,TXN_100369
307,PAYMENT,308.22,C1007087,0.0,0.0,C2013185,31818.59,31818.59,0,0,DEV_931,2025-01-13 19:15:00,2025-01-13,19,TXN_100124
206,CASH_OUT,1281.75,C1024473,2387.82,1106.07,M1007409,26671.13,27952.88,0,0,DEV_340,2025-01-09 14:52:00,2025-01-09,14,TXN_100525
693,PAYMENT,61.32,C1020057,0.0,0.0,C2006449,0.0,0.0,0,0,DEV_539,2025-01-29 21:45:00,2025-01-29,21,TXN_100370
660,CASH_OUT,4048.57,C1021626,25504.86,21456.3,M1001311,0.0,4048.57,0,0,DEV_237,2025-01-28 12:54:00,2025-01-28,12,TXN_100643
608,CASH_OUT,2742.76,C1016176,2887.81,145.05,C2000672,33613.15,36355.92,0,0,DEV_117,2025-01-26 08:18:00,2025-01-26,8,TXN_100032
742,PAYMENT,68.7,C1019003,380.88,312.18,C2011721,48399.02,48399.02,0,0,DEV_817,2025-01-31 22:07:00,2025-01-31,22,TXN_100630
413,TRANSFER,746940.82,C1015511,747706.49,0.0,M1013360,81945.2,828886.02,1,0,DEV_909,2025-01-18 05:50:00,2025-01-18,5,TXN_100381
355,DEBIT,262.95,C1009494,2095.43,2358.39,M1011279,34047.33,34047.33,0,0,DEV_895,2025-01-15 19:34:00,2025-01-15,19,TXN_100435
265,PAYMENT,11.58,C1020415,54.9,43.32,C2011631,32396.22,32396.22,0,0,DEV_862,2025-01-12 01:18:00,2025-01-12,1,TXN_100613
710,TRANSFER,4574.42,C1014439,31121.62,26547.2,M1000937,0.0,4574.42,0,0,DEV_197,2025-01-30 14:46:00,2025-01-30,14,TXN_100371
46,TRANSFER,505.75,C1014451,4918.13,4412.38,C2010412,21127.23,21632.98,0,0,DEV_399,2025-01-02 22:21:00,2025-01-02,22,TXN_100156
